Mart Jaagura      |      VR II/3
Aleksander Jaakson      |      VR I/3
Jaan Jaakson      |      VR II/3
Jüri Jaakson      |      VR III/1
Aleksander-Albert Jaanberg      |       VR II/3
Karl Jaanimets      |      VR II/3
Otto Jaanso      |      VR II/3
Robert-Johann Jaanson      |      VR II/3
Karl Jaanus      |      VR II/3
Karl-Robert Jagomäe      |      VR II/3
Ludvig-Karl Jakobsen      |      VR I/3
Karl Jakobson      |      VR II/3
Villem Jakobson      |      VR II/3
Karl-Arnold Jalakas      |      VR I/3
Juhan Jansen      |      VR II/3
Nikolai Janson      |      VR I/3
Jūlijs Voldemārs Jansons      |       VR I/2
Jüri Jantov      |      VR II/3
Wacław Jędrzejewicz      |       VR I/3
Hugo-Johannes Jens      |      VR II/3
August Jensen      |      VR II/3
Martin-Volmer Jervan      |      VR I/2
Elmar Joaste      |      VR II/3
Adolf-Mihkel Johannes      |      VR II/3
Peeter-Adolf Johannes      |      VR II/3
Arthur Johannson      |      VR II/3
Eduard Johanson      |      VR II/3
Mart Johanson      |      VR II/3
Stanley Adam Johnwick      |      VR I/3
Elias Jokinen      |      VR II/3, II/3
Eino Urho Kustaa Jokioinen      |       VR II/3
Gustav Jonson      |      VR II/2, I/3
Alfred-Evald Joonet      |      VR II/3
Henry de Jouvenel      |      VR III/1
Johan Jungermann      |      VR I/3
Michael  Jungerth-Arnóthy      |       VR III/2
Jaan Junkur      |      VR I/3
August-Johannes Junts      |      VR II/3
Adrian-Endrek Juurisma      |       VR II/3
Henrik Jõelaid      |      VR II/3
Mart Jõerand      |      VR II/3
Viktor Jõesaar      |      VR II/3
Juhan Jõgevest      |      VR I/3, II/3
Eduard Jõgi      |      VR II/3
Johannes Jõgi      |      VR I/3
Hans Jõõks      |      VR II/3
Feliks Jänes      |      VR II/3
August Järve      |      VR II/3
Georg-Bernhard Järvekülg      |       VR I/3
Aleksander Järvelaid      |      VR II/3
Juhan Järver      |      VR I/3
Jüri Jürgen      |      VR II/3
Arnold-Johannes Jürgens      |       VR I/3
Eduard-Johannes Jürgens      |       VR II/3
Hermann Jürgens      |      VR I/3
Jakob Jürgens      |      VR III/3
Hugo-Vilhelm-Leonhard Jürgenson      |       VR I/3, II/3
Julius Jürgenson      |      VR I/3
Egbert-Michael Jürima      |      VR II/3
Johannes Jürimaa      |      VR II/3
Aleksander Jürimäe      |      VR I/3
Mart Jürine      |      VR II/3
Johan Jüris      |      VR II/3
Peeter Jürisoo      |      VR II/3
Johannes Jürisson      |      VR II/3
Voldemar Jürisson      |      VR II/3
Juhan Jüriste      |      VR II/3
Johannes-Aleksander Jürna      |       VR II/3
Jüri Jürvetson      |      VR II/3
Voldemar Jürvetson      |      VR II/3
Karl Kaal      |      VR II/3
August Kaasik      |      VR II/3
Leonhard-Karl Kaasik      |      VR II/3
Priidu Kaasik      |      VR II/3
Peeter Kabur      |      VR I/3
Jaan Kadak      |      VR II/3
Karl Kadak      |      VR II/3
Aleksander Kadaksaar      |      VR II/3
Peeter Kadarik      |      VR II/3
Otto-Karl Kahro      |      VR II/3
Aleksander Kaigas      |      VR I/3
Elmo Edvard Kaila      |      VR I/3
Johannes-Richard Kajak      |       VR I/3
Johannes Kalbas      |      VR II/3
Teodor Kalberg      |      VR I/3
Jakob Kalda      |      VR II/3
Joann Kalda      |      VR I/3
Karl Kalda      |      VR II/3
Valdik Kaldamäe      |      VR I/3
August Kaldas      |      VR II/3
Jakob Kalde      |      VR II/3
Eduard Kaldmäe      |      VR II/3
Juhan Kaldveer      |      VR II/3
Vilho Kustaa Kalervo      |      VR II/3
Georg Kalev      |      VR I/3
Heinrich-Martin Kalikorm      |       VR II/3
Tõnis Kaljund      |      VR II/3
Rudolf Kaljuste      |      VR II/3
Eduard Kaljuver      |      VR I/3
August Kallas      |      VR II/3
Oskar-Philipp Kallas      |      VR III/1
Georg Kallaste      |      VR II/3
Ferdinand-Magnus Kalle      |       VR II/3
Kyösti Kallio      |      VR III/1, I/2
Sulo Antero Petter Kallio      |       VR I/3, II/3
Lauri Kallioinen      |      VR I/2, I/3, I/3
Jüri Kallmann      |      VR II/3
Hans Kallo      |      VR II/3
Hans Kalm      |      VR I/1, II/3
Kaarel-Johannes Kalm      |      VR II/3
Teodor Kalm      |      VR II/3
Kristjan Kalmet      |      VR II/3
Ringolds Frīdrihs Magnuss Kalnings      |      VR III/1
Eduards Kalniņš      |      VR I/2
Jānis Kalniņš      |      VR II/3
Kaarlo Ilmari Kalpa      |      VR I/3
Johannes Kalter      |      VR II/3
Johannes Kalvi      |      VR II/3
Aleksander Kalvik      |      VR II/3
Villem Kanarik      |      VR I/3
Peeter-Victor Kanasaar      |       VR II/3
Konstantin Kanep      |      VR II/3
Karl-August Kang      |      VR II/3
Karl Kanger      |      VR II/3
August Kangro      |      VR I/3
Gottfried-Roman Kangro      |       VR II/3
René-Paul-Ferdinand Kangro      |       VR II/3
